neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
צמרות איילון,33312.89,41848.18,40884.08,47775.93,40947.22,39577.53,45138.55,44834.89,55137.48,46611.9,44842.49,52579.87
צפון יפו,37364.24,37364.24,37364.24,37762.68,40340.39,41224.26,42967.32,44057.25,51173.06,55752.26,51643.96,54199.78
קרית שלום,18724.39,18485.76,23607.19,24413.96,20189.74,24400.26,23956.59,28220.95,31648.24,34453.54,38354.05,38268.19
רביבים,25315.12,29845.86,30359.92,31251.14,26864.5,27861.73,31759.85,34848.85,37072.61,44945.0,31932.64,39705.53
רמת אביב,38459.13,39547.94,37950.94,48255.73,52787.09,45887.07,52569.5,53661.08,65383.74,60460.41,54056.87,57159.22
רמת אביב ג,33070.84,34075.36,37620.3,44311.07,46524.45,39581.78,39930.0,45171.68,45240.57,50900.49,50153.36,46288.24
רמת אביב החדשה,29613.61,31536.72,36036.6,35310.76,36859.26,33766.2,35242.08,37867.83,42620.44,42873.16,47328.07,49840.01
רמת החייל,40058.78,38363.26,39619.77,45442.19,35605.93,34259.11,40475.82,44215.24,48398.74,47045.86,43623.01,63887.2
רמת הטייסים,25252.67,27287.87,31192.04,28107.62,35252.82,27882.15,29469.3,33340.44,35635.6,38932.74,45749.4,28931.74
שפירא,17148.79,22759.63,21811.17,22602.25,21314.45,21542.74,25191.61,23850.07,21806.28,29780.01,32714.72,38768.05
תכנית ל,29016.04,29016.04,29016.04,29016.04,29016.04,29016.04,26599.87,34081.16,34057.9,64662.35,59630.91,72379.77
תל ברוך צפון,28201.69,30728.96,35307.87,34506.74,34858.9,36031.43,37725.19,39429.32,42244.15,42301.17,41938.59,45370.89
תל חיים,22760.59,23094.89,26043.17,27650.49,25747.13,26597.18,30009.43,26419.57,30233.89,35015.49,52431.03,69800.19
תל כביר/נווה עופר/יפו ב,15082.77,16090.46,17795.81,20911.39,22724.76,21401.37,22284.93,26053.83,30841.4,26841.14,30720.04,34948.76
