neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
גבעת אוסישקין,,,,,,,,,,10175.02,10981.14,10655.14,11886.61,11198.48,11025.17,11636.48,14204.31,16227.57,14998.41,16330.02,16409.02,17032.97,17656.92,18280.88,18904.83
גבעת טרומפלדור,6179.3,5163.11,5107.91,4717.89,7532.03,7470.83,7402.26,8168.83,11128.99,9884.11,9655.18,14555.61,9577.93,9684.69,10084.1,9646.21,13843.6,13550.3,15139.85,14274.59,14758.37,15245.99,15733.61,16221.23,16708.85
גבעת כצנלסון,5240.0,8175.33,5860.73,5897.04,8046.61,8851.82,8845.85,11294.73,11111.12,13927.01,14535.11,11567.31,14069.52,12799.0,12343.56,8676.76,14825.57,13867.11,20656.88,18619.7,17653.54,18243.35,18833.16,19422.97,20012.78
גבעת שרת,3247.0,2998.08,3711.12,4421.55,5705.11,5690.31,6993.25,8504.0,9886.85,9456.59,9962.77,9765.25,8931.59,8195.65,7968.38,9426.53,10228.28,13364.43,14054.91,15012.39,13933.54,14462.82,14992.09,15521.36,16050.63
מרכז העיר,,,,,,,,,,,,,,,,,15299.26,16761.36,17011.36,17830.78,18686.83,19471.29,20255.74,21040.2,21824.65
נווה אלון,8296.88,8520.75,6693.27,7371.25,8894.81,11828.39,10367.51,12037.88,11929.29,11350.8,14206.45,12217.76,11390.39,11482.06,12043.23,11196.0,18759.14,16548.29,18121.92,17319.37,17287.04,17787.83,18288.61,18789.4,19290.19
נווה יצחק רבין - נהרייה הירוקה,,,,,,,8717.07,9652.35,9742.57,10493.45,11116.76,10765.25,10305.58,10292.49,10437.54,10569.87,12448.8,13494.71,14241.75,15095.63,14160.72,14550.02,14939.32,15328.62,15717.92
נווה מנחם בגין,7412.56,7272.5,7772.28,8366.0,9235.49,10732.34,12049.93,11932.04,13158.13,13448.28,13817.01,13442.65,12974.6,12414.64,12763.08,14082.14,16703.84,17261.92,17242.91,20684.05,18582.82,19148.96,19715.1,20281.24,20847.39
עין שרה,6982.32,6353.44,6571.32,8047.75,8240.59,8928.03,10442.86,10785.77,10893.14,11498.16,11756.23,12134.63,11781.55,10699.36,11736.79,12008.64,13538.94,14507.79,15858.57,17115.74,15904.92,16372.61,16840.31,17308.01,17775.71
קריית יוספטל,6629.43,4737.97,4383.58,5283.05,6762.78,8601.16,8737.92,10346.6,9105.78,11775.44,11374.65,11884.26,11309.47,12078.54,13133.17,11152.89,13655.45,14479.71,16701.4,15716.17,16404.49,16977.06,17549.63,18122.21,18694.78
קריית עשור,,4926.29,6130.68,5830.81,6209.15,8387.8,9368.19,8420.34,,,11438.89,12019.21,13788.77,10681.82,11776.8,13812.6,12637.43,19757.58,16448.86,7727.27,15689.84,16212.99,16736.13,17259.27,17782.42
רסקו חקלאית,,,10850.0,11102.05,,7700.0,12371.13,,,,19021.74,,13972.22,,8857.77,11627.72,29464.4,16767.8,,95.41,14125.79,14259.98,14394.17,14528.36,14662.56
