neighborhood,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
לב העיר,12966.35,12966.35,12966.35,12966.35,12966.35,12966.35,12966.35,13501.23,15857.89,16492.93,16807.0
מוצקין הותיקה,13426.38,13426.38,13426.38,13426.38,13426.38,13426.38,13426.38,14257.93,16804.12,17875.5,18681.24
משכנות אמנים,13824.83,13824.83,13824.83,13824.83,13824.83,12023.74,14071.33,15477.94,16563.71,17101.47,18420.4
נווה גנים,13297.42,13361.77,13676.11,13368.88,13407.01,12583.45,13136.05,15713.42,16311.49,17932.15,17532.99
