neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
בן גוריון,,,,6188.97,5219.7,6359.66,6395.89,6513.48,7898.85,7979.14,8706.35,10119.48,7405.46,8905.4,9495.57,9467.78,12052.71,11086.0,14601.47,14813.92,13611.01,14121.98,14632.94,15143.91,15654.87
בן גוריון ב,,,,,,,,,,8211.17,9023.98,10019.52,9596.5,8852.88,10627.27,11157.12,13355.45,12004.29,12473.98,16505.67,14950.65,15596.55,16242.45,16888.35,17534.25
נאות אביב,,,1348.31,2622.73,5846.68,6838.26,6141.14,8649.6,7133.39,11749.09,8118.03,10935.17,11120.2,9546.88,7607.02,10564.43,9853.51,8404.68,14620.99,14160.09,13622.68,14148.69,14674.7,15200.71,15726.73
נאות אשכול,1585.98,1733.7,1939.27,2326.36,4167.43,5244.73,4723.45,5309.42,6284.17,6016.72,6400.99,7453.99,6785.17,7163.3,7451.14,8563.22,8742.66,7059.4,11036.71,9960.46,10529.33,10960.94,11392.55,11824.17,12255.78
נאות הדקל,,1321.59,2352.94,3333.33,4494.9,4672.55,4848.19,7172.96,6773.72,6641.22,9915.9,9261.35,8342.21,8383.68,12264.18,10842.0,11608.74,11222.48,15930.77,17959.82,15757.93,16505.6,17253.28,18000.95,18748.62
נאות המייסדים,4200.0,3051.46,3138.52,5792.36,4138.04,5279.03,6817.32,7527.03,7120.07,8383.56,11278.78,9570.35,7283.96,8438.19,10129.33,11184.3,10578.28,13902.79,12301.77,12165.76,13433.71,13940.34,14446.98,14953.61,15460.25
נאות הנביאים,,,,5488.43,5883.75,5020.38,7364.61,7838.34,9107.63,9607.8,9896.38,11560.32,12524.57,11052.87,11904.35,10569.52,13863.13,11363.35,15943.89,15454.02,15677.46,16279.25,16881.04,17482.82,18084.61
נאות יצחק רבין,,,,,,,,,7522.21,7316.41,8054.47,9118.24,9659.53,10054.73,9403.35,9538.44,11378.73,12477.04,12126.55,12113.01,12965.89,13438.04,13910.2,14382.35,14854.5
