neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אחיסמך,14157.22,14157.22,14157.22,14157.22,14157.22,14157.22,12233.36,14265.21,15644.24,18774.52,19145.53,19542.79
אלישיב,12043.37,12915.08,13583.24,14550.36,14529.35,14338.33,16064.02,16459.19,14689.17,17835.33,17116.28,19907.79
בילו,9581.41,10524.39,14490.95,15689.34,16887.73,16972.77,17535.973333333335,18099.176666666666,18662.38,16725.84,14789.3,24720.89
בן גוריון,10047.11,11612.1,11988.9,13093.4,14041.14,14268.73,14920.9,14619.61,15643.92,17396.38,18234.4,19359.85
גבעת הזיתים,8228.89,8984.89,11618.96,12064.06,12038.65,12511.85,12800.65,14391.75,15408.62,17022.62,20207.5,18645.57
גני אביב,17350.75,17350.75,17350.75,17350.75,17350.75,17350.75,17350.75,17063.43,17657.37,21123.25,21675.86,21631.14
גני יער,10850.24,11517.08,12778.3,13583.81,14260.81,14776.44,15201.37,16808.27,16852.79,18760.49,17576.98,20172.2
החשמונאים,5260.64,6301.36,6136.14,7771.11,8304.38,7066.02,10873.51,11339.29,13819.23,14860.31,15662.41,14546.44
העיר העתיקה,8820.54,10021.3,10552.62,13938.46,10372.42,13386.25,8567.21,15628.32,21524.0,17917.26,12713.01,12713.01
"חב""ד",13213.91,9631.61,11857.77,16435.77,16585.53,16916.65,18183.68,17252.86,18824.33,20035.51,18934.34,20989.09
חסכון ג,10594.97,11212.13,12743.9,13550.74,14554.0,15525.25,17086.49,16834.88,18905.31,20905.43,23451.22,24459.39
לוד הצעירה,10250.23,11124.6,12020.41,13307.79,11701.65,13429.17,11704.29,13318.27,13645.67,15342.84,17490.39,19050.82
ממשלתית,10154.53,13051.55,12038.66,13336.41,14302.16,15470.87,17458.64,15086.77,15432.38,16605.93,20397.56,17877.63
מרכז העיר,8826.72,9270.01,10552.82,11330.58,11562.53,12776.98,13627.53,15362.88,14891.98,18012.97,17869.68,19738.51
משמר נוף,12315.48,12714.94,12800.85,8987.69,12108.38,16537.27,17682.93,18526.38,17396.21,19560.11,19369.19,19294.9
נאות יצחק,11173.83,11105.39,12784.08,14666.73,15489.65,16576.08,16425.4,15808.22,18223.93,20661.37,20782.58,20758.93
נווה אלון,10165.99,6300.24,9215.92,10669.23,13193.71,9606.84,15821.18,13915.88,16015.28,15508.34,16356.56,20710.09
נווה זית,10776.58,17815.58,15588.89,13274.75,20501.88,21640.25,21059.57,15658.99,24487.43,25603.78,21837.11,28298.13
נווה ירק,1367.42,6097.665,10827.91,1325.19,5000.0,15625.0,11093.55,21689.49,11514.31,6109.18,9615.38,9615.38
נווה נוף,10667.6,11439.19,12493.91,12686.4,14439.55,15127.42,15480.83,17231.02,17831.38,18150.06,18862.38,20829.89
עמידר,13368.36,13695.58,13046.92,13357.14,17783.98,11911.31,19448.64,16310.34,15689.39,19128.84,20739.29,19221.17
רמט,8290.0,8948.26,10752.23,9954.94,13097.28,14070.41,13954.42,16374.68,16784.09,18168.47,19474.83,19308.42
רמת אשכול,5966.21,6563.33,7644.14,7774.12,8977.64,10090.79,11448.15,11983.93,12633.01,14049.18,15218.65,15261.69
רסקו,14138.65,8414.17,11968.64,7465.3,19430.8,16644.23,16583.4,15820.56,21997.16,20298.61,20134.32,25951.2
שגיא ב,9881.42,11398.18,12665.43,14182.72,12284.24,14454.17,11237.14,14686.72,15044.23,14476.32,18320.58,17792.05
שער העיר,12400.0,12400.0,12400.0,12400.0,12156.51,12248.86,15280.52,15732.22,17540.34,16422.97,17853.85,19762.4
שרת,8547.5,9234.86,9450.82,10671.43,12935.01,13496.42,13885.79,13151.76,14912.18,15979.72,17439.29,18465.66
