neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
סביוני הכפר,10956.02,10828.29,12605.29,15829.41,16407.49,18336.44,18153.84,18224.51,17926.93,19399.74,19303.79,21783.92,22752.52,22498.53,23904.35,25886.77,32344.87,35558.07,34027.98,30373.95,33522.81,34681.64,35840.47,36999.29,38158.12
סירקין,11234.79,12849.73,19168.16,24751.1,17986.82,16516.65,22141.74,17864.59,19913.08,18314.28,14461.99,19965.42,17446.81,19665.51,20344.4,20485.07,39616.26,26665.68,30400.7,34573.51,29794.56,30611.35,31428.13,32244.92,33061.7
עובד בן ציון,21680.6,11882.7,14296.17,17178.89,24055.56,14967.83,21540.05,21407.55,13108.31,16041.35,20330.68,19969.68,19292.6,16623.0,27560.95,19917.05,37159.93,27965.46,36795.1,,30079.51,30891.65,31703.79,32515.93,33328.07
עלייה,14315.32,9083.73,18955.4,18515.3,22687.92,14646.15,13539.22,23712.89,27548.36,20864.05,32886.51,30472.69,29228.76,27578.39,11877.63,34502.93,52944.45,25095.33,29715.38,,36931.09,38096.26,39261.43,40426.6,41591.77
פועלים א,8943.64,9660.23,12112.86,13443.85,16146.85,15781.31,15654.96,17971.9,17011.23,17645.66,19185.77,19029.23,19862.11,20525.67,22328.9,22008.14,28673.86,29657.43,30649.7,29408.53,30190.53,31229.14,32267.75,33306.37,34344.98
פועלים ב,10582.07,13188.26,11968.22,14265.4,15349.62,14517.47,14324.52,14199.99,15479.7,17677.59,13470.38,18804.33,16952.26,20033.93,20480.27,22003.04,27375.66,26128.95,29526.43,40278.97,29971.26,31032.29,32093.33,33154.37,34215.41
פועלים ד,9233.95,10047.95,11566.45,13553.41,15071.9,13596.36,16299.89,14967.66,18016.0,16784.06,20333.22,19668.37,22889.71,21684.12,20969.37,24697.18,30329.44,30853.73,32260.51,36260.05,33032.18,34277.7,35523.23,36768.75,38014.28
צפון,10354.54,11112.64,12688.18,14568.41,17604.5,18376.44,13055.72,16735.87,17795.16,18336.63,21075.49,21927.88,16461.75,13454.78,14232.87,20241.67,9501.68,27173.36,20385.46,23904.04,21486.97,21919.13,22351.28,22783.44,23215.59
קפלן,6674.41,7351.87,9979.75,12997.97,11851.98,9884.62,12831.38,14264.2,15565.25,19384.38,22249.33,16313.42,16885.33,18118.51,18862.66,12609.79,24233.97,15240.51,34317.49,29852.82,26485.18,27438.67,28392.17,29345.66,30299.16
קרית ספיר,9388.19,9217.62,12564.54,14763.2,15561.59,15709.96,16559.66,16057.09,17621.29,17760.95,16941.65,18171.03,19122.57,18749.15,20391.31,21775.36,29181.04,25337.6,29504.68,28035.31,28253.61,29171.04,30088.46,31005.88,31923.3
ראשונים,10167.21,10234.59,9868.9,12762.3,14551.38,15126.23,16109.83,15294.53,16585.3,17567.67,20203.83,19403.06,20601.19,20603.38,20624.91,23162.24,25214.54,30011.09,29108.33,41380.9,31991.26,33187.66,34384.06,35580.46,36776.86
שיכוני מזרחי,11898.86,11617.03,12268.76,13581.97,16152.23,17173.61,17791.04,16669.18,19796.95,18480.35,21528.27,21448.86,21287.88,21890.04,20192.21,22966.78,28657.86,32069.96,26680.38,25255.83,29066.05,29941.82,30817.6,31693.37,32569.15
תקומה,10209.83,9978.32,11229.12,15909.57,13945.47,15095.4,16638.64,18484.79,17192.94,23828.58,24513.82,16747.41,21687.15,20740.89,22012.74,23784.84,34367.17,21926.5,34046.2,32231.2,31616.96,32701.57,33786.19,34870.8,35955.41
