neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אחוזת ברכפלד,5367.22,5389.94,7637.92,8271.26,9405.26,9887.02,10989.92,12300.6,12299.46,14298.67,14327.54,15117.07,15207.99,15374.79,16231.81,17335.55,19600.26,19812.79,19615.69,21209.94,21937.71,22742.82,23547.93,24353.04,25158.15
מתיתיהו מזרח,,4120.0,5243.5,8016.76,9082.63,10239.89,10205.3,10692.13,12649.88,13513.8,13109.75,13813.19,14856.75,15640.51,14541.09,16229.48,20107.2,19718.34,18013.75,20598.07,21342.96,22159.4,22975.84,23792.29,24608.73
נאות הפיסגה,,5152.94,6959.09,8090.25,8437.95,10448.67,9616.34,10391.09,12566.89,11950.69,14072.42,15336.49,14162.46,13604.08,16610.0,16478.7,19172.44,20810.85,19688.03,25048.21,22534.62,23427.05,24319.47,25211.89,26104.31
קרית ספר,,,,,,,,,,,14773.62,14555.48,13880.63,14935.31,15348.8,16126.22,18765.42,18073.7,20861.51,22723.83,21968.69,22871.28,23773.87,24676.46,25579.05
