neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אורות,,,,,,,,,,,,,,,,35077.27,38738.57,,40460.96,51192.66
אזור שדה דב,,,,,,,,,,,6967.0,3234.62,6079.06,10000.0,11000.0,,,,,
אזורי חן,19408.3,17699.75,21672.4,22526.19,24139.07,27955.56,26970.78,28812.42,31558.35,34503.13,34206.38,40263.84,34994.01,34497.72,35141.0,38163.27,49403.02,52195.67,54022.3,51894.8
בבלי,,,,,,,,,34504.16,37230.79,44671.03,47394.97,43759.75,43076.6,48087.49,46772.05,60961.58,58461.97,63048.3,68116.46
ביצרון,,,,,,,,,31079.84,32732.27,27673.1,30445.13,32083.96,36178.58,32390.71,35885.02,41580.69,47326.61,40884.8,48836.26
גלילות,23342.5,21577.59,24205.82,28272.46,33380.53,34006.76,28063.68,33777.37,34331.8,33509.32,35337.43,36783.06,32479.05,35583.81,39018.18,38897.15,52067.6,43335.14,44487.26,54900.06
גני צהלה,14621.8,15694.34,16840.29,20029.6,21033.69,21308.25,22920.19,25464.82,25379.53,24655.51,24818.37,28139.55,30845.68,28975.79,26401.78,29331.13,30848.14,37973.05,40333.93,37514.43
גני שרונה,,,,,,,,,,,,,,,44644.64,45523.05,53434.88,56788.3,57210.99,57283.98
דקר,,,,,,,,,19950.1,21576.42,20711.67,27444.56,28122.47,30056.87,27751.61,33353.99,37694.19,37447.67,30431.05,31850.34
הארגזים,5102.93,4847.78,5992.36,9698.1,11002.84,11797.83,12834.86,13401.07,15813.88,19637.68,20772.75,23192.29,15365.08,21252.12,25298.41,25353.94,26509.42,23226.82,29860.84,21250.51
הדר יוסף,,,,,,,,,27260.8,31814.92,30523.83,33964.11,32628.8,33399.97,40120.33,40020.68,46849.38,50696.53,47097.26,48665.97
המשתלה,15795.49,17258.51,17811.87,19539.55,25320.37,26118.46,25533.99,25223.23,27632.58,29257.65,30066.63,32168.85,36778.83,32406.56,33078.97,33437.01,39780.15,34762.72,38098.35,46913.69
הצפון החדש החלק הדרומי,,,,,,,,,,,,,,47521.68,50624.51,56097.83,63765.99,63707.5,61601.83,64282.18
הצפון החדש החלק הצפוני,,,,,,,,,,,,,,,,56300.72,61291.49,62908.79,64759.65,64369.86
הצפון החדש סביבת כיכר המדינה,,,,,,,,,,,,,,,,,59847.38,58287.92,62424.5,62839.27
