neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אפק,4169.29,3365.16,3440.61,3935.69,5289.36,6321.05,7308.2,7751.88,8135.09,8918.48,9702.66,8876.13,9121.02,10391.9,10099.31,10440.43,11019.59,12853.9,15614.37,14806.48,14623.33,15199.07,15774.82,16350.56,16926.3
גבעת הרקפות,7851.78,7900.34,7654.44,8148.69,9528.59,11642.6,11222.76,11168.69,12551.19,12952.91,13558.93,13730.71,13339.52,13404.88,13331.91,13879.77,16631.29,17069.68,17665.66,18753.1,18267.62,18807.45,19347.29,19887.12,20426.95
דרום,,,,,,,,9601.18,11259.77,12062.13,13319.72,12261.41,12489.53,11444.19,12606.0,13153.4,14216.56,16361.16,17703.02,17158.0,17177.55,17723.4,18269.25,18815.1,19360.94
מרכז העיר,,,,,,,,,,,,,,,,,14746.22,16154.22,16831.53,18995.19,20037.85,21380.27,22722.69,24065.11,25407.53
פרפר,5483.45,6517.14,6922.67,8202.62,9247.14,10289.94,10545.37,10736.91,12658.93,13575.51,13633.45,13354.06,11690.15,11184.85,12646.67,12457.68,15027.38,15612.05,15685.12,12653.99,15977.87,16413.26,16848.65,17284.04,17719.43
צור שלום,,,,,,,,,,,,10318.76,10217.41,10099.16,10487.91,11016.0,11154.94,14135.39,15247.58,16840.2,16328.24,17160.17,17992.1,18824.03,19655.96
