neighborhood,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
לב העיר,,,,,,,12966.35,13501.23,15857.89,16492.93,16807.0,18326.98,19394.28,20461.58,21528.88,22596.18
מוצקין הותיקה,,,,,,,13426.38,14257.93,16804.12,17875.5,18681.24,20447.22,21859.95,23272.68,24685.41,26098.14
משכנות אמנים,,,,,13824.83,12023.74,14071.33,15477.94,16563.71,17101.47,18420.4,19131.14,20075.23,21019.32,21963.41,22907.5
נווה גנים,13297.42,13361.77,13676.11,13368.88,13407.01,12583.45,13136.05,15713.42,16311.49,17932.15,17532.99,17399.17,17869.93,18340.69,18811.46,19282.22
