neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
בבא סאלי,4077.38,4156.33,4511.94,5253.21,6073.4,9277.54,8612.53,8381.37,8935.9,8872.04,8713.4,8868.89,10307.04,10406.76,11282.33,12153.12,13305.8,16171.74,14705.55,15998.47
ברית כהונה,3950.8,3566.4,7303.65,3023.22,5639.59,6754.74,5827.31,6937.66,7381.78,9137.55,8309.22,8401.43,6079.91,8943.35,9662.9,10429.09,10767.79,12215.34,14821.18,12777.37
לוי אשכול,,,4117.11,,,5438.86,4220.56,5162.54,6057.47,6890.1,7132.03,6701.05,7969.28,6697.71,8464.76,8313.18,8368.99,5932.29,10726.89,11499.86
נווה נוי,5365.33,4305.59,5201.85,6310.73,6806.13,7385.47,7489.75,8016.48,8878.29,8765.22,9829.88,9783.68,10366.6,9439.75,9183.71,11942.48,12451.24,9673.78,16241.14,14484.58
נטעים,5225.29,4554.83,5191.23,4492.25,7913.28,8188.4,8610.84,9167.23,9498.43,9207.96,10577.37,11217.53,11174.04,12040.78,11693.27,14279.31,15252.32,17860.11,17607.97,17583.36
נתיבות מערב,,,,,,,,,,,8768.19,9547.14,8914.14,8675.27,9056.47,10757.37,12813.51,13305.26,13151.04,14003.31
קרית מנחם בגין,4203.83,4525.66,4301.11,4410.85,5510.75,6183.91,6080.97,7430.63,7355.61,8566.35,8081.76,8329.35,7921.45,8950.59,9427.51,9054.07,11142.12,12479.52,12485.37,13767.62
קרית משה,4645.83,,3166.67,3622.82,6270.27,6903.63,6311.44,7360.92,8589.34,8375.27,8858.45,8736.96,8842.94,7785.37,9421.55,9788.15,9784.16,10378.38,13342.86,15242.58
