neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבני החושן,6468.55,6656.46,6266.6,8414.96,9591.26,10105.36,9844.74,10602.56,11750.07,12239.49,13017.41,15455.84,12305.99,15087.33,15002.82,16125.55,15207.32,15644.95,15635.97,17788.25
הנחלים,5395.38,6148.55,7716.88,8501.88,9218.89,9595.78,9768.8,10155.84,11123.6,13246.28,14349.28,14701.88,14239.62,14983.26,14487.82,16858.14,19021.55,19159.89,19087.63,18833.07
כלי שיר,5439.98,6377.42,7163.91,7944.48,8600.59,8466.26,10025.81,11201.03,11872.17,12487.43,13097.41,13130.86,14442.46,14635.25,15015.51,14997.64,16202.27,18335.01,19408.11,19033.65
מגדים,6796.96,7537.36,8110.79,8884.88,10185.31,10968.43,11994.99,11371.67,12095.37,14678.41,14665.23,14634.04,13902.4,13502.81,14294.03,15438.37,17874.19,18001.94,16781.65,18788.61
מצפה נבו,6040.16,6308.12,7740.51,8920.01,9672.35,10037.84,11659.45,11418.31,11583.17,11900.63,16643.89,14586.29,13161.62,13048.78,15235.45,13973.15,13624.41,16886.66,,9267.17
נופי סלע,,,,,,,,,,15109.72,15686.54,15641.98,15201.06,15587.45,16040.47,16849.51,19796.03,18718.27,19735.15,19620.58
צמח השדה,,,,,11083.7,11694.14,11439.82,12410.15,12659.54,13727.96,14223.67,13838.01,14533.7,14879.97,15097.52,15771.4,18521.73,19901.48,19101.51,19131.74
