neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
בר לב,,,,,,,,,14209.99,14758.78,15385.61,16067.18,16413.56,17894.35,20030.76,21242.44,24807.54,25830.72,26635.17,28123.64,29057.06,30432.51,31807.96,33183.41,34558.85
נאות הראשונים,7013.95,7558.77,8902.15,9979.07,10772.25,13460.59,12593.19,14143.44,14563.35,15343.56,15374.03,17260.74,16822.47,18454.38,18904.38,21660.85,19949.01,29914.06,27902.92,27794.08,27603.43,28668.68,29733.92,30799.17,31864.41
נאות יצחק רבין,7538.13,6831.88,7767.96,8391.59,9483.53,12352.87,12944.63,12102.73,12383.05,15669.69,16386.33,16829.57,16389.38,17187.28,18388.76,19965.53,26417.29,30272.93,30781.12,29011.65,29158.92,30378.36,31597.8,32817.24,34036.68
