neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
כוכב יאיר,8292.31,8440.1,9970.6,11986.85,14053.88,15169.71,14548.14,14512.89,14236.15,15441.39,15422.46,16208.07,15795.6,15340.48,16251.44,17360.19,22811.09,16845.29,18667.92,28456.38,22317.82,22968.03,23618.25,24268.47,24918.68
צור יגאל,10077.34,10599.05,12062.49,12732.51,15569.67,18699.24,19030.71,17479.12,18923.07,15842.45,19257.76,20764.54,20189.48,19511.92,20479.02,21758.07,27597.55,30699.85,32035.08,26551.17,29441.73,30389.23,31336.72,32284.22,33231.72
